sample_id,row_index,verdict
run-0bc2622a-00000,0,
run-0bc2622a-00001,1,
run-0bc2622a-00002,2,
run-0bc2622a-00003,3,
run-0bc2622a-00004,4,
run-0bc2622a-00005,5,
run-0bc2622a-00006,6,
run-0bc2622a-00007,7,
run-0bc2622a-00008,8,
run-0bc2622a-00009,9,
